conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,tweet_eng
1778076405164818529,Fri Apr 12 02:02:49 +0000 2024,0,haduh tukang jadi akun tetas pakai permen permen hai usahbicara permen kal tau bisa baju adat selesai ji sejahtera at tau guru honorer aja zonasi hancur main orang licik duit mikir,1778604656480141796,,ForJastip,in,hell lobby,0,0,0,https://twitter.com/arkhamclinic/status/1778604656480141796,1708049619232698368,arkhamclinic,"Gosh, a hatred account using candy candy, I talk about candy, you know, you can finish traditional clothes, ji prosper"
1778535274043318569,Fri Apr 12 01:57:42 +0000 2024,0,berfikirsaya sebenernya guru honorer kerja tidak k main main lebihsaya h kecewa naiksaya tanggal juga sudah ajar tentang psikologi mant tau kembang a anak didik cumaasaya kembali lagisaya masalah timpang,1778603366433902789,,supirandalan,in,"Yogyakarta, Indonesia",0,0,0,https://twitter.com/Intanprtdna_ps/status/1778603366433902789,630093749,Intanprtdna_ps,"I think that actually the honorary teacher does not play more, I played more and I was disappointed that I went up the date."
1778601794672968079,Fri Apr 12 01:51:27 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778601794672968079,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,"Tasikmalaya, Jawa Barat",0,0,0,https://twitter.com/ridhoputri642/status/1778601794672968079,1708656268481830912,ridhoputri642,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
1778601564514697614,Fri Apr 12 01:50:32 +0000 2024,0,demokrat tekad angkat guru pegawai honorer pns ol agus yudhoyono demokrat demokrat harap rakyat,1778601564514697614,https://pbs.twimg.com/media/GFpSlVCbsAAsJLo.jpg,,in,"Tasikmalaya, Jawa Barat",0,0,0,https://twitter.com/ridhoputri642/status/1778601564514697614,1708656268481830912,ridhoputri642,Democrats Determination of Elimination of PNS Honorary Employees Teachers OL Agus Yudhoyono Democrat Democrat hope the people
1778453057833226436,Fri Apr 12 01:48:47 +0000 2024,0,bilang honorer nakes guru tuh 11 12 sedih,1778601125543063768,,sosmedkeras,in,,0,0,0,https://twitter.com/grMatchaaa/status/1778601125543063768,1115923418,grMatchaaa,said honorary nakes teacher 11 12 sad
1778599045696762324,Fri Apr 12 01:40:31 +0000 2024,0,guru honorer tidak jinya macetsaya ni beneran teman teman temenku salah yang dampak,1778599045696762324,,,in,Unknown,0,0,0,https://twitter.com/carangses/status/1778599045696762324,1359318924546854913,carangses,"The honorary teacher is not justled, this is really my friends who are wrong"
1778597598196277378,Fri Apr 12 01:34:46 +0000 2024,0,nakes gaji gin guru honorer yang gaji 300rb bayar 3 bulan sekali sedih hidup saya ndonesia,1778597598196277378,,,in,Thailand,0,0,0,https://twitter.com/gulfterfly/status/1778597598196277378,1412811046499192836,gulfterfly,Nakes salary gin honorary teacher who salary 300 thousand pay once every 3 months sad my life is Indonesian
1778453057833226436,Fri Apr 12 01:28:41 +0000 2024,0,honorer diangkatsaya belum bisa demo pecat aja,1778596065044033856,,sosmedkeras,in,,0,0,0,https://twitter.com/Beranda86118752/status/1778596065044033856,1467315849795039235,Beranda86118752,Honorary was appointed that I couldn't just demo fired
1778595359859843199,Fri Apr 12 01:25:53 +0000 2024,1,pegawai honorer dengan pegawai ji rendah depan k mudah singkir stophonorer,1778595359859843199,,,in,Dunia,0,0,0,https://twitter.com/Mas_zobirin/status/1778595359859843199,912692135446536192,Mas_zobirin,honorary staff with low JI employees in front of Singkir Stophonorary
1778453057833226436,Fri Apr 12 01:23:54 +0000 2024,0,nasib pegawai honorer k nurut pecat jangan m tau honorer,1778594863082348905,,sosmedkeras,in,Dunia,0,0,0,https://twitter.com/Mas_zobirin/status/1778594863082348905,912692135446536192,Mas_zobirin,The fate of honorary employees according to fire don't know the honorary
1778592668026855506,Fri Apr 12 01:15:11 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778592668026855506,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,,0,0,0,https://twitter.com/garudaakshaya/status/1778592668026855506,1708669456401256448,garudaakshaya,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
1778592630550761557,Fri Apr 12 01:15:02 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778592630550761557,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,,0,0,0,https://twitter.com/alvin1495424/status/1778592630550761557,1708588896886611968,alvin1495424,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
1778592522853593282,Fri Apr 12 01:14:36 +0000 2024,0,demokrat tekad angkat guru pegawai honorer pns ol agus yudhoyono demokrat demokrat harap rakyat,1778592522853593282,https://pbs.twimg.com/media/GFpSlVCbsAAsJLo.jpg,,in,,0,0,0,https://twitter.com/garudaakshaya/status/1778592522853593282,1708669456401256448,garudaakshaya,Democrats Determination of Elimination of PNS Honorary Employees Teachers OL Agus Yudhoyono Democrat Democrat hope the people
1778592488053412264,Fri Apr 12 01:14:28 +0000 2024,0,demokrat tekad angkat guru pegawai honorer pns ol agus yudhoyono demokrat demokrat harap rakyat,1778592488053412264,https://pbs.twimg.com/media/GFpSlVCbsAAsJLo.jpg,,in,,0,0,0,https://twitter.com/alvin1495424/status/1778592488053412264,1708588896886611968,alvin1495424,Democrats Determination of Elimination of PNS Honorary Employees Teachers OL Agus Yudhoyono Democrat Democrat hope the people
1778442441085084067,Fri Apr 12 01:13:01 +0000 2024,0,honorer kal tau lumpuh anggota pemda dapet tuh ji,1778592121492312354,,russkbob,in,"Jakarta Timur, DKI Jakarta",0,0,0,https://twitter.com/SilverMetallics/status/1778592121492312354,1644598667175936000,SilverMetallics,Honorary Kal knows paralyzed members of the local government get ji
1778589049332355264,Fri Apr 12 01:00:48 +0000 2024,0,ngurusin seragam mending mikirin nasib guru honorer percuma seragam tapi nasib guru perhati kesusksesan ajar letak jenis seragam tapi sumber ajar kurikulum di ubah beban administrasi si sejarah guru capai,1778589049332355264,,,in,,0,0,0,https://twitter.com/debydubidam/status/1778589049332355264,1333027218008670208,debydubidam,"take care of the uniform better thinking about the fate of honorary teachers is useless uniform but the fate of teachers pay attention to the success of teaching, the location of the uniform, but the curriculum teaching resources are changed"
1778583833606226372,Fri Apr 12 00:52:40 +0000 2024,0,kal tau guru s kecewa rahasia umumsaya sumpah kaget banget kirain nakes tuh lebihsaya h lahsaya eh sama aja kayak guru honorer profesi pentingsaya tusaya guru nakes tapi malah harga begini,1778587002163916858,,Fio_1917,in,Jakaena 💜,0,0,0,https://twitter.com/IUlilyy/status/1778587002163916858,922971805,IUlilyy,"if you know that teacher is disappointed that the secret is that I swear to be very surprised, the nakes are more like that, just like the honorary teacher of the important profession, but instead the price is like this, but instead the price is like this"
1778437483493314729,Fri Apr 12 00:51:59 +0000 2024,0,dunia pernakesan jauh beda guru honorer sed kecewasaya ndonesia,1778586828607811894,,timpenguinnas,in,"Surakarta, Jawa Tengah",0,0,0,https://twitter.com/PlesterKaca/status/1778586828607811894,1422626233460813826,PlesterKaca,"the world of marriage is far different honorary teachers in elementary school, Indonesian disappointment"
1778583833606226372,Fri Apr 12 00:50:56 +0000 2024,1,guru honorer aja yang jinya 150k200k dipake beli cilok hari tidak k ,1778586564899316077,,IUlilyy,in,,0,1,0,https://twitter.com/Fio_1917/status/1778586564899316077,1282894333901824002,Fio_1917,just honorary teacher who is 150k200k used to buy cilok day no k
1778453057833226436,Fri Apr 12 00:50:47 +0000 2024,0,kode tuh buat kerja honorer di tri at tau lembaga apa nuntut ji pecat,1778586527616184672,,sosmedkeras,in,"solo, Indonesia",0,0,0,https://twitter.com/sandyprak/status/1778586527616184672,947861402089222144,sandyprak,The code is for honorary work in the TNI or what institution demands ji fire
1778583530618163237,Fri Apr 12 00:38:52 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778583530618163237,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,,0,0,0,https://twitter.com/stnurhaliz94534/status/1778583530618163237,1705954045607964672,stnurhaliz94534,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
1778527783339397215,Fri Apr 12 00:38:40 +0000 2024,0,rumah belah apartemensaya tu salah administrasi,1778583477325336891,,pakantono,in,"Ngadirojo, Indonesia",0,0,0,https://twitter.com/dariguruhonorer/status/1778583477325336891,563795565,dariguruhonorer,house split apartment
1778583309960045035,Fri Apr 12 00:38:00 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778583309960045035,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,"Lynchburg, VA",0,0,0,https://twitter.com/RobenaGongon694/status/1778583309960045035,509455674,RobenaGongon694,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
1778583256310669791,Fri Apr 12 00:37:47 +0000 2024,0,demokrat tekad angkat guru pegawai honorer pns ol agus yudhoyono demokrat demokrat harap rakyat,1778583256310669791,https://pbs.twimg.com/media/GFpSlVCbsAAsJLo.jpg,,in,,0,0,0,https://twitter.com/stnurhaliz94534/status/1778583256310669791,1705954045607964672,stnurhaliz94534,Democrats Determination of Elimination of PNS Honorary Employees Teachers OL Agus Yudhoyono Democrat Democrat hope the people
1778583227374219584,Fri Apr 12 00:37:40 +0000 2024,0,demokrat tekad angkat guru pegawai honorer pns ol agus yudhoyono demokrat demokrat harap rakyat,1778583227374219584,https://pbs.twimg.com/media/GFpSlVCbsAAsJLo.jpg,,in,"Lynchburg, VA",0,0,0,https://twitter.com/RobenaGongon694/status/1778583227374219584,509455674,RobenaGongon694,Democrats Determination of Elimination of PNS Honorary Employees Teachers OL Agus Yudhoyono Democrat Democrat hope the people
1778582160045391932,Fri Apr 12 00:33:26 +0000 2024,0,kampanye manado demokrat tekad angkat guru honorer pns b s agus yudhoyono demokrat harap rakyat,1778582160045391932,https://pbs.twimg.com/media/GFZ8d5-b0AAmnW7.jpg,,in,,0,0,0,https://twitter.com/sani1122975807/status/1778582160045391932,1705952728684617728,sani1122975807,Manado Democratic Campaign Determination of Lift Teacher Honorary PNS B S Agus Yudhoyono Democrat hope the people
